N Time Angle(rd) Wz(rd/s)
431 229033473 0.0263097 0.0334985
432 229565575 -0.00909066 -0.0115746
433 230108583 -0.0521266 -0.0663696
434 230642760 -0.0256354 -0.0326399
435 231171048 -0.0180161 -0.0229387
436 231708124 -0.0258563 -0.0329212
437 232239036 -0.0366808 -0.0467033
438 232794256 -0.0360205 -0.0458626
439 233334093 0 0
440 233852081 -0.0107523 -0.0136902
441 234364594 -0.0427091 -0.0543787
442 234913258 -0.02803 -0.0356889
443 235449910 0 0
444 235973668 -0.00900877 -0.0114703
445 236504713 -0.0256354 -0.0326399
446 237062750 -0.00952352 -0.0121257
447 237570956 -0.0103089 -0.0131257
448 238091602 0 0
449 238625027 -0.0373658 -0.0475755
450 239165930 0 0
451 239692348 0 0
452 240227862 -0.0173896 -0.022141
453 240764312 -0.0087717 -0.0111685
454 241298229 0.00869543 0.0110713
455 241852236 -0.0446132 -0.0568032
456 242384520 -0.00990067 -0.0126059
457 242913401 -0.0434509 -0.0553233
458 243517113 -0.00884933 -0.0112673
459 244103708 0 0
460 244614356 -0.00943368 -0.0120113
461 245150126 -0.0350733 -0.0446566
462 245767043 -0.026081 -0.0332073
463 246299555 0 0
464 246826648 -0.0085468 -0.0108821
465 247380913 -0.0178552 -0.022734
466 247907017 -0.027266 -0.034716
467 248451840 -0.0344691 -0.0438873
468 249001896 -0.0344691 -0.0438873
469 249569598 0 0
470 250101087 -0.0265424 -0.0337948
471 250661902 -0.0530475 -0.0675421
472 251185209 0.0172397 0.0219502
473 251725136 -0.0530475 -0.0675421
474 252274656 -0.0265424 -0.0337948
475 252824621 -0.00862048 -0.0109759
476 253392126 0 0
477 253929513 -0.0265424 -0.0337948
478 254476787 -0.00925899 -0.0117889
479 255021189 -0.475695 -0.605673
480 255511497 -0.0185164 -0.0235758
481 256067574 -0.0186894 -0.023796
482 256606678 0.0587558 0.0748101
483 257112045 0.324718 0.413443
484 257687811 0.100669 0.128175
485 258161857 -0.0183466 -0.0233595
486 258670852 0.212645 0.270747
487 259215132 0.372269 0.473987
488 259767114 0 0
489 260312958 0.00892833 0.0113679
490 260858076 0.00862048 0.0109759
491 261387604 -0.0535203 -0.068144
492 261892772 -0.0700606 -0.0892037
493 262428931 2.88097e-05 3.66816e-05
494 262934810 -0.0672063 -0.0855696
495 263441542 -0.0635507 -0.080915
496 263963270 -0.0531414 -0.0676616
497 264455633 -0.0210495 -0.026801
498 264957238 -0.0265424 -0.0337948
499 265461528 -0.0319041 -0.0406214
500 265953580 0 0
501 266478014 -0.0315685 -0.0401941
502 266992350 -0.0450146 -0.0573143
503 267491043 -0.0607946 -0.0774059
504 268037167 -0.0423476 -0.0539184
505 268551366 -0.0540015 -0.0687567
506 269063398 0.0880074 0.112054
507 269540140 2.88429e-05 3.67238e-05
508 270046880 -0.0863234 -0.10991

