#N Time vx wz 
1011 460000 0 0
1012 460000 0 0
1013 460000 0 0
1014 460000 0 0
1015 460000 0 0
1016 460000 0 0
1017 460000 0 0
1018 460000 0 0
1019 460000 0 0
1020 460000 0 0
1021 460000 0 0
1022 460000 0 0
1023 460000 0 0
1024 460000 0 0
1025 460000 0 0
1026 460000 0 0
1027 470000 0 0
1028 470000 0 0
1029 470000 0 0
1030 470000 0 -0.1
1031 470000 0 -0.2
1032 470000 0 -0.3
1033 470000 0 -0.4
1034 470000 0 -0.5
1035 470000 0 -0.6
1036 470000 0 -0.7
1037 470000 0 -0.8
1038 470000 0 -0.9
1039 470000 0 -1
1040 470000 0 -1
1041 470000 0 -1
1042 470000 0 -1
1043 470000 0 -1
1044 470000 0 -1
1045 470000 0 -1
1046 470000 0 -1
1047 470000 0 -1
1048 470000 0 -1
1049 470000 0 -1
1050 470000 0 -1
1051 470000 0 -1
1052 470000 0 -1
1053 470000 0 -1
1054 470000 0 -1
1055 470000 0 -1
1056 480000 0 -1
1057 480000 0 -1
1058 480000 0 -1
1059 480000 0 -1
1060 480000 0 -1
1061 480000 0 -1
1062 480000 0 -1
1063 480000 0 -1
1064 480000 0 -1
1065 480000 0 -1
1066 480000 0 -1
1067 480000 0 -1
1068 480000 0 -1
1069 480000 0 -1
1070 480000 0 -1
1071 480000 0 -1
1072 480000 0 -1
1073 480000 0 -1
1074 480000 0 -1
1075 480000 0 -1
1076 480000 0 -1
1077 480000 0 -1
1078 480000 0 -1
1079 480000 0 -1
1080 480000 0 -1
1081 480000 0 -1
1082 480000 0 -1
1083 480000 0 -1
1084 480000 0 -1
1085 480000 0 -1
1086 480000 0 -1
1087 480000 0 -1
1088 480000 0 -1
1089 480000 0 -1
1090 480000 0 -1
1091 480000 0 -1
1092 480000 0 -1
1093 480000 0 -1
1094 480000 0 -1
1095 480000 0 -1
1096 480000 0 -1
1097 480000 0 -1
1098 480000 0 -1
1099 480000 0 -1
1100 480000 0 -1
1101 480000 0 -1
1102 490000 0 -1
1103 490000 0 -1
1104 490000 0 -1
1105 490000 0 -1
1106 490000 0 -1
1107 500000 0 -1
1108 500000 0 -1
1109 500000 0 -1
1110 500000 0 -1
1111 500000 0 -1
1112 500000 0 -1
1113 500000 0 -1
1114 500000 0 -1
1115 500000 0 -1
1116 500000 0 -1
1117 500000 0 -1
1118 500000 0 -1
1119 500000 0 -1
1120 500000 0 -1
1121 500000 0 -1
1122 500000 0 -1
1123 500000 0 -1
1124 500000 0 -1
1125 500000 0 -1
1126 500000 0 -1
1127 500000 0 -1
1128 500000 0 -1
1129 500000 0 -1
1130 500000 0 -1
1131 500000 0 -1
1132 500000 0 -1
1133 500000 0 -1
1134 500000 0 -1
1135 500000 0 -1
1136 500000 0 -1
1137 500000 0 -1
1138 500000 0 -1
1139 500000 0 -1
1140 500000 0 -1
1141 500000 0 -1
1142 500000 0 -1
1143 500000 0 -1
1144 500000 0 -1
1145 500000 0 -1
1146 500000 0 -1
1147 500000 0 -1
1148 500000 0 -1
1149 500000 0 -1
1150 500000 0 -1
1151 500000 0 -1
1152 500000 0 -1
1153 500000 0 -1
1154 500000 0 -1
1155 500000 0 -1
1156 500000 0 -1
1157 500000 0 -1
1158 500000 0 -1
1159 500000 0 -1
1160 500000 0 -1
1161 510000 0 -1
1162 510000 0 -1
1163 510000 0 -1
1164 510000 0 -1
1165 510000 0 -1
1166 510000 0 -1
1167 510000 0 -1
1168 510000 0 -1
1169 510000 0 -1
1170 510000 0 -1
1171 510000 0.02 -0.9
1172 510000 0.04 -0.8
1173 510000 0.06 -0.7
1174 510000 0.08 -0.6
1175 510000 0.1 -0.5
1176 510000 0.12 -0.4
1177 510000 0.14 -0.3
1178 510000 0.16 -0.2
1179 510000 0.18 -0.1
1180 510000 0.2 -1.38778e-16
1181 520000 0.2 0
1182 520000 0.2 0
1183 520000 0.2 0
1184 520000 0.2 0
1185 520000 0.2 0
1186 520000 0.2 0
1187 520000 0.2 0
1188 520000 0.2 0
1189 520000 0.2 0
1190 520000 0.2 0
1191 520000 0.2 0
1192 520000 0.2 0
1193 520000 0.2 0
1194 520000 0.2 0
1195 520000 0.2 0
1196 520000 0.2 0
1197 520000 0.2 0
1198 520000 0.2 0
1199 520000 0.2 0
1200 520000 0.2 0
1201 520000 0.2 0
1202 520000 0.2 0
1203 520000 0.2 0
1204 520000 0.2 0
1205 520000 0.2 0
1206 520000 0.2 0
1207 520000 0.2 0
1208 520000 0.2 0
1209 520000 0.2 0
1210 520000 0.2 0
1211 520000 0.2 0
1212 520000 0.2 0
1213 520000 0.2 0
1214 520000 0.2 0
1215 520000 0.2 0
1216 520000 0.2 0
1217 520000 0.2 0
1218 520000 0.2 0
1219 520000 0.2 0
1220 520000 0.2 0
1221 530000 0.2 0
1222 530000 0.2 0
1223 530000 0.2 0
1224 530000 0.2 0
1225 530000 0.2 0
1226 530000 0.2 0
1227 530000 0.2 0
1228 530000 0.2 0
1229 530000 0.2 0
1230 530000 0.2 0
1231 530000 0.2 0
1232 530000 0.2 0
1233 530000 0.2 0
1234 530000 0.2 0
1235 530000 0.2 0
1236 530000 0.2 0
1237 530000 0.2 0
1238 530000 0.2 0
1239 530000 0.2 0
1240 530000 0.2 0
1241 530000 0.2 0
1242 530000 0.2 0
1243 530000 0.2 0
1244 530000 0.2 0
1245 530000 0.2 0
1246 530000 0.2 0
1247 530000 0.2 0
1248 530000 0.2 0
1249 530000 0.2 0
1250 530000 0.2 0
1251 530000 0.2 0
1252 540000 0.2 0
1253 540000 0.2 0
1254 540000 0.2 0
1255 540000 0.2 0
1256 540000 0.2 0
1257 540000 0.2 0
1258 540000 0.2 0
1259 540000 0.2 0
1260 540000 0.2 0
1261 550000 0.2 0
1262 550000 0.2 0
1263 550000 0.2 0
1264 550000 0.2 0
1265 550000 0.2 0
1266 550000 0.2 0
1267 550000 0.2 0
1268 550000 0.2 0
1269 550000 0.2 0
1270 550000 0.2 0
1271 550000 0.2 0
1272 550000 0.2 0
1273 550000 0.2 0
1274 550000 0.2 0
1275 550000 0.2 0
1276 550000 0.2 0
1277 550000 0.2 0
1278 550000 0.2 0
1279 550000 0.2 0
1280 550000 0.2 0
1281 550000 0.2 0
1282 550000 0.2 0
1283 550000 0.2 0
1284 550000 0.2 0
1285 550000 0.2 0
1286 550000 0.2 0
1287 550000 0.2 0
1288 550000 0.2 0
1289 550000 0.2 0
1290 550000 0.2 0
1291 550000 0.2 0
1292 550000 0.2 0
1293 560000 0.2 0
1294 560000 0.2 0
1295 560000 0.2 0
1296 560000 0.2 0
1297 560000 0.2 0
1298 560000 0.2 0
1299 560000 0.2 0
1300 560000 0.2 0
1301 560000 0.2 0
1302 560000 0.2 0
1303 560000 0.2 0
1304 560000 0.2 0
1305 560000 0.2 0
1306 560000 0.2 0
1307 560000 0.2 0
1308 560000 0.2 0
1309 560000 0.2 0
1310 560000 0.2 0
1311 560000 0.2 0
1312 560000 0.2 0
1313 560000 0.2 0
1314 560000 0.2 0
1315 560000 0.2 0
1316 560000 0.18 0
1317 560000 0.16 0.1
1318 560000 0.14 0.2
1319 560000 0.12 0.3
1320 560000 0.1 0.4
1321 560000 0.08 0.5
1322 560000 0.06 0.6
1323 560000 0.04 0.7
1324 560000 0.02 0.8
1325 560000 2.08167e-17 0.9
1326 560000 0 1
1327 570000 0 1
1328 570000 0 0.9
1329 570000 0 0.8
1330 570000 0 0.7
1331 570000 0 0.6
1332 570000 0.02 0.5
1333 570000 0.04 0.4
1334 570000 0.06 0.3
1335 570000 0.08 0.2
1336 570000 0.1 0.1
1337 570000 0.12 1.38778e-16
1338 570000 0.14 0
1339 570000 0.16 0
1340 570000 0.18 0
1341 570000 0.2 0
1342 570000 0.2 0
1343 570000 0.2 0
1344 570000 0.2 0
1345 570000 0.2 0
1346 570000 0.2 0
1347 570000 0.2 0
1348 570000 0.2 0
1349 570000 0.2 0
1350 570000 0.2 0
1351 570000 0.2 0
1352 570000 0.2 0
1353 570000 0.2 0
1354 580000 0.2 0
1355 580000 0.2 0
1356 580000 0.2 0
1357 580000 0.2 0
1358 580000 0.2 0
1359 580000 0.2 0
1360 580000 0.2 0
1361 580000 0.2 0
1362 580000 0.2 0
1363 580000 0.2 0
1364 580000 0.2 0
1365 580000 0.2 0
1366 580000 0.2 0
1367 580000 0.2 0
1368 580000 0.2 0
1369 580000 0.2 0
1370 580000 0.2 0
1371 580000 0.2 0
1372 580000 0.2 0
1373 580000 0.2 0
1374 580000 0.2 0
1375 580000 0.2 0
1376 580000 0.2 0
1377 580000 0.2 0
1378 580000 0.2 0
1379 580000 0.2 0
1380 580000 0.2 0
1381 580000 0.2 0
1382 580000 0.2 0
1383 580000 0.2 0
1384 580000 0.2 0
1385 580000 0.2 0
1386 580000 0.2 0
1387 580000 0.2 0
1388 590000 0.2 0
1389 590000 0.2 0
